קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
1553,753,753,"ירושלים, הגן הארמני",170/130,יהודה,בהט דן,1970,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא לח, עמ 14-15",,,,,,,,,,,,,,,,
1554,753,753,"ירושלים, הגן הארמני",170/130,יהודה,בהט דן,1970,ממלוכית,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 14-15",,,,,,,,,,,,,,,,
1555,753,753,"ירושלים, הגן הארמני",170/130,יהודה,בהט דן,1970,צלבני,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 14-15",,,,,,,,,,,,,,,,
1556,753,753,"ירושלים, הגן הארמני",170/130,יהודה,בהט דן,1970,רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 14-15",,,,,,,,,,,,,,,,
1557,754,754,"ירושלים, החומה השלישית",171/132,יהודה,צפיריס וסיליוס ואחרים,1-11.1990.,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,מנזר ואכסניה,"חא צז, עמ 63-65",,,,,,,,,,,,,,,,
1558,754,754,"ירושלים, החומה השלישית",171/132,יהודה,צפיריס וסיליוס ואחרים,1-11.1990.,מוסלמי קדום,,בריכה,עירוני,,,שרידי בנייה,מאגר מים ובריכה,"חא צז, עמ 63-65",,,,,,,,,,,,,,,,
1559,754,754,"ירושלים, החומה השלישית",171/132,יהודה,צפיריס וסיליוס ואחרים,1-11.1990.,רומית,מאה 1-3 לספירה,חומה,עירוני,,,שרידי בנייה,"חומה, קברים ומחצבה","חא צז, עמ 63-65",,,,,,,,,,,,,,,,
1560,754,755,"ירושלים, החומה השלישית , שטח C",1716/1325,יהודה,שוקרון אלי וסבריאנו אלגרה,6-9.1991,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 67-68",,,,,,,,,,,,,,,,
1561,754,755,"ירושלים, החומה השלישית , שטח C",1716/1325,יהודה,שוקרון אלי וסבריאנו אלגרה,6-9.1991,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 67-68",,,,,,,,,,,,,,,,
1562,754,756,"ירושלים, החומה השלישית Ea-f",171/132,יהודה,אבו ריע ראפע,1991-1993,אומאי,,חירבה,עירוני,,,שרידי בנייה,,"חא 106, עמ 131-134",,,,,,,,,,,,,,,,
1563,754,756,"ירושלים, החומה השלישית Ea-f",171/132,יהודה,אבו ריע ראפע,1991-1993,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,,"חא 106, עמ 131-134",,,,,,,,,,,,,,,,
1564,754,756,"ירושלים, החומה השלישית Ea-f",171/132,יהודה,אבו ריע ראפע,1991-1993,ממלוכית,,חירבה,עירוני,,,שרידי בנייה,,"חא 106, עמ 131-134",,,,,,,,,,,,,,,,
1565,754,757,"ירושלים, החומה השלישית א",1711/1318,יהודה,אבו ריע ראפע,4.1994,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 106, עמ 130-131",,,,,,,,,,,,,,,,
1566,754,757,"ירושלים, החומה השלישית א",1711/1318,יהודה,אבו ריע ראפע,4.1994,רומית,,מחצבה,כפרי,,,מתקן,,"חא 106, עמ 130-131",,,,,,,,,,,,,,,,
1567,754,757,"ירושלים, החומה השלישית א",1711/1318,יהודה,אבו ריע ראפע,4.1994,רומית - ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 106, עמ 130-131",,,,,,,,,,,,,,,,
1568,754,758,"ירושלים, החומה השלישית, שטח D",17160/13250,יהודה,עמית דוד ואחרים,10.1991-2.1992,ביזנטית,מאה 6 לספירה,חירבה,כפרי,,,שרידי בנייה,כנסיה,"חא 100, עמ 68-71",,,,,,,,,,,,,,,,
1569,754,758,"ירושלים, החומה השלישית, שטח D",17160/13250,יהודה,עמית דוד ואחרים,10.1991-2.1992,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 68-71",,,,,,,,,,,,,,,,
1570,754,758,"ירושלים, החומה השלישית, שטח D",17160/13250,יהודה,עמית דוד ואחרים,10.1991-2.1992,מוסלמי קדום,מאה 9 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 68-71",,,,,,,,,,,,,,,,
1571,754,758,"ירושלים, החומה השלישית, שטח D",17160/13250,יהודה,עמית דוד ואחרים,10.1991-2.1992,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 100, עמ 68-71",yes,,,,,,,,,,,,,,,
1572,759,759,"ירושלים, הכנסייה הסקוטית",171/130,יהודה,ברקאי גבי,8-9.1975,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,,"חא נז-נח, עמ 30-31",,,,,,,,,,,,,,,,
1573,759,759,"ירושלים, הכנסייה הסקוטית",171/130,יהודה,ברקאי גבי,8-9.1975,ברזל 2,,חירבה,עירוני,,,קרמיקה בלבד,,"חא נז-נח, עמ 30-31",,,,,,,,,,,,,,,,
1574,760,760,"ירושלים, הסינמטק",171/130,יהודה,גת יוסף,,רומית,מאה 2-1 לפנהס,מערה,קבר,,,קבר,,"חא עז, עמ 27",,,,,,,,,,,,,,,,
1575,761,761,"ירושלים, הר הזיתים",17239-400/13099-254,יהודה,אבו ריע ראפע,7.1997,רומית,מאה 1 לפנהס - 1 לספירה,מערה,קבר,,,קבר,לא נתגלה ממצא מתארך,"חא 111, עמ 91",,,,,,,,,,,,,,,,
1576,761,762,"ירושלים, הר הזיתים",17365/13108,יהודה,אבו ריע ראפע,12.1993,רומית,מאה 1 לספירה,מערה,קבר,,,קבר,,"חא 104, עמ 97-98",,,,,,,,,,,,,,,,
1577,761,763,"ירושלים, הר הזיתים",17272/13186,יהודה,זליגמן יוחנן וראם עמית,5.1998,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,בור מים,חא 112 עמ 99,,,,,,,,,,,,,,,,
1578,761,764,"ירושלים, הר הזיתים",17281/13204,יהודה,זליגמן יוחנן וראם עמית,5.1998,צלבני,,חירבה,כפרי,,,שרידי בנייה,מתקן ניתוב מי שטפונות,חא 112 עמ 99,,,,,,,,,,,,,,,,
1579,761,765,"ירושלים, הר הזיתים",17309/13175,יהודה,קלונר עמוס,8.1978,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא סז-סח, עמ 46",,,,,,,,,,,,,,,,
1580,761,308,"ירושלים, הר הצופים",1724/13317,יהודה,קלונר עמוס,,רומית,מאה 1 לספירה,מערה,קבר,,,קבר,,"חא עח-עט, עמ 70",,,,,,,,,,,,,,,,
1581,761,766,"ירושלים, הר הצופים",17305/13301,יהודה,אבו ריא ראפע וזיסו בועז,6.1995,רומית,מאה 2לפנהס - 1 לספירה,מערה,קבר,,,קבר,,"חא 107, עמ 84-85",,,,,,,,,,,,,,,,
1582,761,767,"ירושלים, הר הצופים",172/133,יהודה,אורן אליעזר,1970,רומית,,מערה,קבר,,,קבר,,"חא לג, עמ 2-3",,,,,,,,,,,,,,,,
1583,761,768,"ירושלים, הר הצופים",172/133,יהודה,ויטו פאני,8.1971,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא מ, עמ 20",,,,,,,,,,,,,,,,
1584,761,769,"ירושלים, הר הצופים",17297/13320,יהודה,וקסלר בדולח שלומית,11.1991,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא 100, עמ 61-63",,,,,,,,,,,,,,,,
1585,761,770,"ירושלים, הר הצופים",172/133,יהודה,זוסמן ורדה,2.1989,רומית,,מערה,קבר,,,קבר,,"חא צד, עמ 46",,,,,,,,,,,,,,,,
1586,761,771,"ירושלים, הר הצופים",172/133,יהודה,זוסמן ורדה וזיאס יוסף,6.1973,רומית,,מערה,קבר,,,קבר,,"חא מז, עמ 17",,,,,,,,,,,,,,,,
1587,761,772,"ירושלים, הר הצופים",17342/13425,יהודה,מזור ג,11.1982,אין תיארוך,,מערה,קבר,,,קבר,,"חא פב, עמ 45",,,,,,,,,,,,,,,,
1588,761,773,"ירושלים, הר הצופים",1738/1331,יהודה,סטרק הרלי ואחרים,5.1987,רומית,מאה 1 לספירה,מערה,קבר,,,קבר,,"חא צב, עמ 35",,,,,,,,,,,,,,,,
1589,761,774,"ירושלים, הר הצופים",17415/13305,יהודה,עמית דוד ואחרים,7-8.1999,רומית,מאה 1 לספירה,מערה,עירוני,,,שרידי בנייה,מערה לייצור כלי אבן,"חא 111, עמ 86-88",,,,,,,,,,,,,,,,
1590,761,775,"ירושלים, הר הצופים",172/133,יהודה,צפיריס וסיליוס,1970,רומית,,מערה,קבר,,,קבר,,"חא לד-לה, עמ 17-18",,,,,,,,,,,,,,,,
1591,761,776,"ירושלים, הר הצופים",172/133,יהודה,קלונר עמוס,1.1979,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא סט-עא, עמ 57",,,,,,,,,,,,,,,,
1592,761,777,"ירושלים, הר הצופים",172/133,יהודה,קלונר עמוס וגת יוסף,6.1974,ביזנטית,,מערה,כפרי?,,,קרמיקה בלבד,,"חא נג, עמ 19",,,,,,,,,,,,,,,,
1593,761,777,"ירושלים, הר הצופים",172/133,יהודה,קלונר עמוס וגת יוסף,6.1974,מוסלמי קדום,,מערה,כפרי?,,,קרמיקה בלבד,,"חא נג, עמ 19",,,,,,,,,,,,,,,,
1594,761,777,"ירושלים, הר הצופים",172/133,יהודה,קלונר עמוס וגת יוסף,6.1974,ממלוכית,,מערה,כפרי?,,,קרמיקה בלבד,,"חא נג, עמ 19",,,,,,,,,,,,,,,,
1595,761,777,"ירושלים, הר הצופים",172/133,יהודה,קלונר עמוס וגת יוסף,6.1974,רומית,,מערה,קבר,,,קבר,,"חא נג, עמ 19",,,,,,,,,,,,,,,,
1596,761,1702,"ירושלים, הר הצופים א'",173-4/133-4,יהודה,ראם עמית,2.2000.,ברזל 2,,שרידים חקלאיים,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 86",,,,,,,,,,,,,,,,
1597,761,1702,"ירושלים, הר הצופים א'",173-4/133-4,יהודה,ראם עמית,2.2000.,רומית,,שרידים חקלאיים,כפרי,,,שרידי בנייה,,"חא 114, עמ' 86",yes,,,,,,,,,,,,,,,
1598,761,778,"ירושלים, הר הצופים ב",1733/1329,יהודה,שטרק הרלי,12.1988,אין תיארוך,,מערה,קבר,,,קבר,,"חא צד, עמ 47",,,,,,,,,,,,,,,,
1599,761,1703,"ירושלים, הר הצופים ב'",17302/13309,יהודה,זיסו בועז וראם עמית,5.2000.,רומית,,מערה,קבר,,,קבר,,"חא 114, עמ' 87-88",,,,,,,,,,,,,,,,
1600,761,779,"ירושלים, הר הצופים, גן שולמית",172/133,יהודה,ויטו פאני,12.1971,רומית,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 21-22",,,,,,,,,,,,,,,,
1601,780,780,"ירושלים, הר הרצל",172/135,יהודה,חירם א,1963,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא ט, עמ 18",,,,,,,,,,,,,,,,
1602,781,781,"ירושלים, הר חוצבים",1702/1346,יהודה,מאי נטליה,"1-4,8.1994",ממלוכית,,חירבה,כפרי,כ 12 דונם,,שרידי בנייה,בית חווה,"חא 107, עמ 81-84",,,,,,,,,,,,,,,,
1603,781,781,"ירושלים, הר חוצבים",1702/1346,יהודה,מאי נטליה,"1-4,8.1994",צלבני,,חירבה,כפרי,כ 12 דונם,,שרידי בנייה,בית חווה,"חא 107, עמ 81-84",,,,,,,,,,,,,,,,
1604,781,782,"ירושלים, הר חוצבים",1703/1347,יהודה,קלטר רז,3-4.1993,צלבני,מאה 12-13 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 62-63",,,,,,,,,,,,,,,,
1605,783,783,"ירושלים, הר ציון",17207/13098,יהודה,אבו ריע ראפע,3.1993,רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא 104, עמ 99-100",yes,,,,,,,,,,,,,,,
1606,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 15-16",,,,,,,,,,,,,,,,
1607,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,ביזנטית,,חירבה,עירוני,,,שרידי בנייה,כולל אמת מים,חא לז עמ 19-20,,,,,,,,,,,,,,,,
1608,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,ימי הביניים,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 15-16",,,,,,,,,,,,,,,,
1609,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,עותמנית,,חומה,עירוני,,,שרידי בנייה,,"חא לז, עמ 19-20",,,,,,,,,,,,,,,,
1610,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,צלבני,,חירבה,עירוני,,,שרידי בנייה,,"חא לז, עמ 19-20",,,,,,,,,,,,,,,,
1611,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא לח, עמ 15-16",,,,,,,,,,,,,,,,
1612,783,784,"ירושלים, הר ציון",172/130,יהודה,מרגובסקי י,1970,רומית,,חירבה,עירוני,,,שרידי בנייה,,"חא לז, עמ 19-20",,,,,,,,,,,,,,,,
1613,783,785,"ירושלים, הר ציון",172/130,יהודה,מרגלית שלמה,6-11.1982,אין תיארוך,,חירבה,עירוני,,,שרידי בנייה,,"חא פב, עמ 45-46",,,,,,,,,,,,,,,,
1614,338,338,"ירושלים, ח א-ראס",1670/1282,יהודה,אדלשטיין גרשון וגת י,1980,ברונזה תיכונה,,חירבה,כפרי,,,שרידי בנייה,,"חא פה, עמ 35-37",,,,,,,,,,,,,,,,
1615,338,338,"ירושלים, ח א-ראס",1670/1282,יהודה,אדלשטיין גרשון וגת י,1980,ברזל 2,,חירבה,כפרי,,,שרידי בנייה,,"חא פה, עמ 35-37",,,,,,,,,,,,,,,,
1616,786,786,"ירושלים, ח א-ראס",1672-4/1285-7,יהודה,פייג נורית ועבד רבו עומר,12.1993-1.1994,ברונזה קדומה 4,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 103, עמ 65-66",,,,,,,,,,,,,,,,
1617,786,786,"ירושלים, ח א-ראס",1672-4/1285-7,יהודה,פייג נורית ועבד רבו עומר,12.1993-1.1994,ברזל 2ב,מאה 7-8 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 65-66",,,,,,,,,,,,,,,,
1618,786,786,"ירושלים, ח א-ראס",1672-4/1285-7,יהודה,פייג נורית ועבד רבו עומר,12.1993-1.1994,ברזל 2ג,מאה 6 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 65-66",,,,,,,,,,,,,,,,
1619,787,787,"ירושלים, ח אל בורג",16778/13673,יהודה,און אלכסנדר ורפיואנו יהודה,6-8.1992,ברזל 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 101-102, עמ 77-78",,,,,,,,,,,,,,,,
1620,787,787,"ירושלים, ח אל בורג",16778/13673,יהודה,און אלכסנדר ורפיואנו יהודה,6-8.1992,הלניסטית,,חירבה,קבר,,,קבר,,"חא 101-102, עמ 77-78",,,,,,,,,,,,,,,,
1621,787,787,"ירושלים, ח אל בורג",16778/13673,יהודה,און אלכסנדר ורפיואנו יהודה,6-8.1992,ימי הביניים,מאה 11-18 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 77-78",yes,,,,,,,,,,,,,,,
1622,787,787,"ירושלים, ח אל בורג",16778/13673,יהודה,און אלכסנדר ורפיואנו יהודה,6-8.1992,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 101-102, עמ 77-78",,,,,,,,,,,,,,,,
1623,787,788,"ירושלים, ח אל בורג",16778/13673,יהודה,בועז אדריאן וארבל יואב,10.1994,ממלוכית,מאה 12-13 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 110",,,,,,,,,,,,,,,,
1624,787,788,"ירושלים, ח אל בורג",16778/13673,יהודה,בועז אדריאן וארבל יואב,10.1994,צלבני,מאה 12 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 109, עמ 110",,,,,,,,,,,,,,,,
1625,787,789,"ירושלים, ח אל בורג",16795/13655,יהודה,וולף שמואל,9.1992,ברונזה תיכונה 2ב,,חירבה,קבר,,,קבר,,"חא 104, עמ 87",,,,,,,,,,,,,,,,
1626,790,790,"ירושלים, ח בית ארזה",16768/12692,יהודה,זיסו בועז וגנור אמיר,7.1998,רומית,,חירבה,כפרי,,,שרידי בנייה,מקווה טהרה,"חא 111, עמ 88-89",,,,,,,,,,,,,,,,
1627,791,791,"ירושלים, ח כעכול",17370-90/13565-95,יהודה,זליגמן יוחנן,4-8.1991,ביזנטית,,חירבה,כפרי,,,מתקן,,"חא 100, עמ 59-60",,,,,,,,,,,,,,,,
1628,791,791,"ירושלים, ח כעכול",17370-90/13565-95,יהודה,זליגמן יוחנן,4-8.1991,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 59-60",,,,,,,,,,,,,,,,
1629,791,791,"ירושלים, ח כעכול",17370-90/13565-95,יהודה,זליגמן יוחנן,4-8.1991,ממלוכית,מאה 13-14 לספירה,חירבה,כפרי,כ 8 דונם,,שרידי בנייה,,"חא 100, עמ 59-60",,,,,,,,,,,,,,,,
1630,791,792,"ירושלים, ח כעכול",173/135,יהודה,קוגן זהבי אלנה,3.1993,ביזנטית,,מערה,קבר,,,קבר,,"חא 104, עמ 81-85",,,,,,,,,,,,,,,,
1631,791,792,"ירושלים, ח כעכול",173/135,יהודה,קוגן זהבי אלנה,3.1993,הלניסטית,,מערה,קבר,,,קבר,,"חא 104, עמ 81-85",,,,,,,,,,,,,,,,
1632,791,792,"ירושלים, ח כעכול",173/135,יהודה,קוגן זהבי אלנה,3.1993,רומית,מאה 1 לפנהס- 1 לספירה,מערה,קבר,,,קבר,,"חא 104, עמ 81-85",,,,,,,,,,,,,,,,
1633,793,793,"ירושלים, ח עדסה",17065/13930,יהודה,חלאילה חמדי,4-5.1994,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,חווה חקלאית,"חא 104, עמ 85-86",,,,,,,,,,,,,,,,
1634,794,794,"ירושלים, ח עין אל תות",1663/1326,יהודה,גת יוסף,8.1979,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא עז, עמ 25-26",,,,,,,,,,,,,,,,
1635,794,794,"ירושלים, ח עין אל תות",1663/1326,יהודה,גת יוסף,8.1979,ימי הביניים,מאה 12-13 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא עז, עמ 25-26",,,,,,,,,,,,,,,,
1636,795,795,"ירושלים, חומת העיר העתיקה",17175-85/13110-15,יהודה,זליגמן יוחנן,7.1996,ימי הביניים,,חומה,עירוני,,,שרידי בנייה,,"חא 108, עמ 138-139",,,,,,,,,,,,,,,,
1637,795,795,"ירושלים, חומת העיר העתיקה",17175-85/13110-15,יהודה,זליגמן יוחנן,7.1996,עותמנית,,חומה,עירוני,,,שרידי בנייה,,"חא 108, עמ 138-139",,,,,,,,,,,,,,,,
1638,795,795,"ירושלים, חומת העיר העתיקה",17175-85/13110-15,יהודה,זליגמן יוחנן,7.1996,רומית,,חירבה,עירוני,,,מתקן,,"חא 108, עמ 138-139",,,,,,,,,,,,,,,,
1639,796,796,"ירושלים, חקל דמא",17231/13055,יהודה,אבני גדעון וגרינהוט צבי,8.1989,רומית,מאה 1 לספירה,מערה,קבר,,,קבר,,"חא צז, עמ 68-71",yes,,,,,,,,,,,,,,,
1640,796,796,"ירושלים, חקל דמא",17231/13055,יהודה,אבני גדעון וגרינהוט צבי,8.1989,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא צז, עמ 68-71",,,,,,,,,,,,,,,,
1641,797,797,"ירושלים, יער רמות",17210/13485,יהודה,רפיאנו יהודה ושבו אליהו,1-2.1995,ברזל 2ב,מאה 7-6 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 133-134",,,,,,,,,,,,,,,,
1642,797,797,"ירושלים, יער רמות",17210/13485,יהודה,רפיאנו יהודה ושבו אליהו,1-2.1995,הלניסטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 133-134",,,,,,,,,,,,,,,,
1643,797,797,"ירושלים, יער רמות",17210/13485,יהודה,רפיאנו יהודה ושבו אליהו,1-2.1995,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 133-134",,,,,,,,,,,,,,,,
1644,797,797,"ירושלים, יער רמות",17210/13485,יהודה,רפיאנו יהודה ושבו אליהו,1-2.1995,רומית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 133-134",,,,,,,,,,,,,,,,
1645,798,798,"ירושלים, כביש מעלה אדומים",13440/17430,יהודה,אדלשטיין גרשון,1982,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,,"חא פ-פא, עמ 28-30",,,,,,,,,,,,,,,,
1646,798,798,"ירושלים, כביש מעלה אדומים",13440/17430,יהודה,אדלשטיין גרשון,1982,פרסית,,חירבה,כפרי,,,שרידי בנייה,,"חא פ-פא, עמ 28-30",,,,,,,,,,,,,,,,
1647,799,799,"ירושלים, כביש רופין- בן צבי",130/170,יהודה,אורן אליעזר,5.1970.,ממלוכית,,מצד,כפרי,,,שרידי בנייה,,"חא לד-לה, עמ 19-20",,,,,,,,,,,,,,,,
1648,799,799,"ירושלים, כביש רופין- בן צבי",130/170,יהודה,אורן אליעזר,5.1970.,עותמנית,,מצד,כפרי,,,שרידי בנייה,,"חא לד-לה, עמ 19-20",yes,,,,,,,,,,,,,,,
1649,800,800,"ירושלים, כביש רמאללה",17226/13439,יהודה,קלונר עמוס,10.1978,רומית - ביזנטית,,בריכה,כפרי,,,שרידי בנייה,"לצד הבריכה קמרון, לא נתגלו חרסים","חא סט-עא, עמ 58",,,,,,,,,,,,,,,,
1650,801,801,"ירושלים, כיכר העירייה",132/172,יהודה,בהט דן ומאיר אהרון,11.1988-4.1989,ברזל 2,מאה 8-7 לפנהס,חירבה,כפרי?,,,קרמיקה בלבד,,"חא צד, עמ 47",,,,,,,,,,,,,,,,
1651,801,801,"ירושלים, כיכר העירייה",132/172,יהודה,בהט דן ומאיר אהרון,11.1988-4.1989,עותמנית,,חירבה,עירוני,,,שרידי בנייה,,"חא צד, עמ 47",,,,,,,,,,,,,,,,
1652,801,801,"ירושלים, כיכר העירייה",132/172,יהודה,בהט דן ומאיר אהרון,11.1988-4.1989,צלבני,,חירבה,עירוני,,,שרידי בנייה,,"חא צד, עמ 47",,,,,,,,,,,,,,,,
1653,802,802,"ירושלים, כפר שאול",132/172,יהודה,איזנברג עמנואל,6.1977,רומית,,מערה,קבר,,,קבר,,"חא סג-סד, עמ 48",,,,,,,,,,,,,,,,
1654,1705,1800,"ירושלים, כתף הינום",17135-50/13070-80,יהודה,אבנר רינה וזלינגר יחיאל,"2-4, 6-7.1999",ברזל,,מערה,קבר,,,שרידי בנייה,שרידי מאספה שהיתה במערת קבורה,"חא 113, עמ' 124-126",,,,,,,,,,,,,,,,
1655,1705,1800,"ירושלים, כתף הינום",17135-50/13070-80,יהודה,אבנר רינה וזלינגר יחיאל,"2-4, 6-7.1999",הלניסטית,,מחצבה,,,,מתקן,,"חא 113, עמ' 124-126",,,,,,,,,,,,,,,,
1656,1705,1800,"ירושלים, כתף הינום",17135-50/13070-80,יהודה,אבנר רינה וזלינגר יחיאל,"2-4, 6-7.1999",רומית,מאה 2-3 לספירה,בית קברות,קבר,,,קבר,,"חא 113, עמ' 124-126",,,,,,,,,,,,,,,,
1657,1705,1800,"ירושלים, כתף הינום",17135-50/13070-80,יהודה,אבנר רינה וזלינגר יחיאל,"2-4, 6-7.1999",ביזנטית,,חירבה,,,,שרידי בנייה,כנסיה,"חא 113, עמ' 124-126",,,,,,,,,,,,,,,,
1658,803,803,"ירושלים, ליד קברי המלכים",132/172,יהודה,ויטו פאני,12.1971,ביזנטית,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 23",,,,,,,,,,,,,,,,
1659,803,803,"ירושלים, ליד קברי המלכים",132/172,יהודה,ויטו פאני,12.1971,רומית,,מערה,קבר,,,קבר,,"חא מא-מב, עמ 23",,,,,,,,,,,,,,,,
1660,1706,1730,"ירושלים, מאר אליאס",1707/1269,יהודה,וייס דני,1.2000.,רומית,,אמת מים,כפרי,,,מתקן,,"חא 114, עמ' 143",,,,,,,,,,,,,,,,
1661,1706,1730,"ירושלים, מאר אליאס",1707/1269,יהודה,וייס דני,1.2000.,עותמנית,,אמת מים,כפרי,,,מתקן,תיקון האמה עם צינור חרס,"חא 114, עמ' 143",,,,,,,,,,,,,,,,
1662,804,804,"ירושלים, מוזיאון רוקפלר",1722/1320,יהודה,אבו ריע ראפע,11.1997,רומית,מאה 1 לפנהס -1 לספירה,מחצבה,כפרי?,,,מתקן,נתגלה גם שבר אחד מתקופת הברזל 2,"חא 111, עמ 89-90",,,,,,,,,,,,,,,,
1663,805,805,"ירושלים, מורשה",17150/13280,יהודה,זהבי אלון,12.1991,ביזנטית,,חירבה,עירוני,,,קרמיקה בלבד,,"חא 100, עמ 109",,,,,,,,,,,,,,,,
1664,805,805,"ירושלים, מורשה",17150/13280,יהודה,זהבי אלון,12.1991,ממלוכית,,חירבה,עירוני,,,קרמיקה בלבד,,"חא 100, עמ 109",,,,,,,,,,,,,,,,
1665,805,805,"ירושלים, מורשה",17150/13280,יהודה,זהבי אלון,12.1991,עותמנית,,חירבה,עירוני,,,קרמיקה בלבד,,"חא 100, עמ 109",,,,,,,,,,,,,,,,
1666,806,806,"ירושלים, מזרח תלפיות",1725/1288,יהודה,ביליג יעקב,12.1990-7.1991,ביזנטית,,אמת מים,כפרי,,,שרידי בנייה,,"חא 100, עמ 72-73",,,,,,,,,,,,,,,,
1667,806,806,"ירושלים, מזרח תלפיות",1725/1288,יהודה,ביליג יעקב,12.1990-7.1991,עותמנית,,אמת מים,כפרי,,,שרידי בנייה,,"חא 100, עמ 72-73",,,,,,,,,,,,,,,,
1668,806,806,"ירושלים, מזרח תלפיות",1725/1288,יהודה,ביליג יעקב,12.1990-7.1991,רומית,מאה 1 לפנהס,אמת מים,כפרי,,,שרידי בנייה,,"חא 100, עמ 72-73",yes,,,,,,,,,,,,,,,
1669,806,807,"ירושלים, מזרח תלפיות",17215-25/12925-35,יהודה,ראם עמית,12.1998,הלניסטית,מאה 2-1 לפנהס,חירבה,שרידים חקלאיים,,,מתקן,,חא 112 עמ 106-107,,,,,,,,,,,,,,,,
1670,806,808,"ירושלים, מזרח תלפיות א",1719/1283,יהודה,קלונר ע וגת י,1980,הלניסטית,,מערה,קבר,,,קבר,,"חא פ-פא, עמ 32",,,,,,,,,,,,,,,,
1671,806,809,"ירושלים, מזרח תלפיות ב",1724/1288,יהודה,קלונר עמוס,4.1981,הלניסטית,,מערה,קבר,,,קבר,,"חא פ-פא, עמ 33",,,,,,,,,,,,,,,,
1672,806,810,"ירושלים, מזרח תלפיות ג",172/128,יהודה,גת יוסף,1.1982,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,מערכת תעלות מים,"חא פ-פא, עמ 33-34",,,,,,,,,,,,,,,,
